id,views,likes,dislikes,comments
XvKp77qPA-w,153729,7784,276,1711
mnXnLeo54FA,684104,4014,183,288
nHojiun8LGU,151286,8836,293,962
SJJ637152e4,85703,2210,73,77
hqt16vTFJgc,439882,18297,332,1034
8-Cjsnq8kVU,3979891,151850,2378,8079
sJBAOvkmbNU,10529,0,0,5
JuoPln48C7o,13309,217,33,27
sottGW1p5os,3621389,141682,1289,8127
ocTca4L3ugs,50925,3684,65,770
DcdoBrCvS9o,432837,2647,353,353
_A0N58-vVUI,72945,4760,202,430
CXZWqVA-pi8,85878,6476,103,534
Ehke7aPI9l0,3715529,86803,2264,11409
fN2R8XNB0Jo,67824,1102,34,100
7dlsBmPbpis,66712,2875,75,178
TvUI233eaSg,159360,16978,474,1463
yYrYchGElek,522261,17675,2323,2385
rQ8E3s-RKM8,19121,0,3,1
5EdrxW8znNo,68166,471,27,58
IcqZpTSUcZA,137859,5574,435,697
5nEogChRGE8,1451881,16654,830,1632
OV9n85JDEK8,1035747,12770,451,1413
JIeRy5RAeF8,54235,2515,96,108
uPJl261HzXI,110566,1179,30,348
RqccSEEO-5M,1011849,18214,577,1604
QcYyZ6_glcc,2408,0,1,2
QfmIUoZej9Q,467088,9228,220,1234
SXHXf9uBBlw,8612,30,2,2
PCqg5O1wosg,7310,95,5,14
a-n7gG5Z6gU,27862,76,36,50
KPV4Pac3muA,1502902,11298,920,1155
CweLhvhnPYM,25220,834,11,134
gx-u6oHEImA,111618,895,52,45
4bFe8Eqrjio,7145,15,1,2
ovZ-X6eHdXI,119289,512,16,25
QAThntReX9g,168416,1603,214,279
zNKH2cIrutk,7802,221,5,17
s6-VLl8-gSk,2411,12,2,5
0nuW_0SBHoo,21645,177,8,65
d9FgWxjAe0Y,211320,1738,138,358
JQ1hP617-iQ,8792,865,9,220
qjfwsjflmWk,6138,18,1,4
859jsQuUbhg,59166,304,39,106
yyOUsn_YpYY,60358,4667,391,495
tGsOX6v9j9Q,7798,47,4,17
PMFZl9WQL-E,127747,156,50,292
RBY1sQTAOuc,57697,794,44,192
euswgQwXXTI,5556,203,12,0
iF6Hmc8Ui6A,52185,183,26,12
nAg6DNWwUkI,57799,409,41,134
cHwirSio5os,95567,2498,147,303
JepXeXmEh5o,11080,863,21,174
twFq7B-A6kA,160771,8302,169,2360
8hKbIhrb1WU,1559003,29898,884,1838
dxicBvXv-DM,30053,928,42,250
eeAr4qfZgbw,6042,21,3,2
j_ACW9yAva0,306398,2663,174,571
bg3hJuBtE-8,1621002,49600,2917,2645
XQI1b6VVb6g,415096,8687,83,147
sV3TdMAywPU,1229,0,0,0
FOiNdxPwp6c,6761,8,0,0
o1iu_dPG_Fo,13381,772,15,11
aiS56O2_xzE,91571,6397,397,1708
pxXYmT6O6DA,28621,78,24,15
vhIdsFAGQuE,115225,794,130,182
5LI5VMbJVOc,155875,1660,47,141
PEqVa37qamw,23491,44,170,20
-4NbAU8JFXQ,19122,500,37,41
xcwilfhFGg4,11129,274,13,17
XITzQPy4lMM,77395,7072,115,221
tkLZCBWLNzY,1158,0,0,0
Gc_BnMrFhPc,714815,37261,772,3673
h3q98ePhQxI,11224,1125,14,34
Vz3sDWE_mUI,81144,7226,8,15
h-5bMYY5ikY,252056,20511,475,2800
XWRk2qDDlUw,5301,152,8,22
hpapqEeb36k,387902,24443,414,1346
wtn79_90pHM,17060,1179,12,117
2E5bthgftKw,457171,20542,378,1638
9s1O0xFUzo4,2463,108,1,0
woOc1XYR-OI,21399,3686,14,252
hJqK-1JwxRM,38326,1016,66,130
uWxvtzPRB6g,9025,526,16,60
YbjzhM728pQ,18812,952,37,121
BXb9OPBTH3g,32343,1456,135,174
Rip_9lytxy4,10062,571,4,120
8WfHX9Q8S6w,291634,1531,295,185
WEO6AERgXzA,729578,9489,184,1048
0kgnCN7V3U4,62980,3316,157,537
1koD5D0fAJw,16369,41,15,6
752sMEfttao,38367,344,4,31
1YEXXIWqkMM,1002924,237301,299,11933
4iQW0_RcwNg,2395,38,0,6
eSo29lAm4BQ,33984,4035,23,249
ycrmp8eEAGY,161482,936,97,348
ddpkoJrct60,162918,1342,240,250
3LmKeofcJhM,59461,1891,42,339
j06RTT1fUUQ,148144,620,110,109
x7UHtGZgpWQ,2773,77,1,7
qFEjz7PJNjc,465527,3037,744,311
-u6-1jjzXgE,22058,217,13,44
ZSrLJmRaPOg,98965,11400,109,641
ECfCYqNmylM,1176,0,0,0
LkDBSF0FHHQ,1263,0,0,0
jwWkmyVCpcQ,4944,36,5,37
6NuYVQz694w,1192,57,1,6
Z6ogBnCz8Rw,9301,32,3,17
d0zd-Lpk5vM,67112,7938,112,582
_P13_8HyzcM,131380,2606,146,279
b_uEWUwA5LE,204837,146,117,15
julasfuISPo,54780,1121,29,110
lzzavO5a4OQ,387955,20678,490,1526
e1-s7keE0qQ,242403,1583,732,839
2oGjBA0OcO8,1279800,75008,1266,11658
39OHaRDl9xo,11096,13,0,0
TWpt-ze_cYU,808317,49439,254,54943
Cy5Fj99E59M,76162,312,39,115
8VID_aE1cKo,100379,311,85,75
ZhCrQ5AEhpg,345227,35222,104,3517
60BkFg3YHkM,8217,1097,11,375
ZXWnGD2mQWg,62128,4087,49,635
41cs4r52lh0,2237,18,0,3
7LDlNp1M4os,10430,66,6,2
DQiTdEeIxA8,17666,185,12,326
8tOWr648QJo,2800,36,1,1
44_9UvZUlQk,258633,5656,151,268
NG0i463B7Z0,88557,6242,188,571
IwC-jLGrsCY,3791,21,5,3
l3XscROl1aY,16170,1003,10,40
H1oJQrx8-2Q,4149,240,11,41
ZNZ-uw_gTb0,1178,39,0,3
IWrsii8LPYA,1138,3,0,1
mtu9LrKlx8A,4564,86,5,20
0xfbmlP6xKY,1599,6,0,3
_fpyjYPnEGA,70493,584,125,111
ildOQV4fPro,4122,538,6,70
QipdBen7DO4,2897,34,6,0
0KurFBcmgKc,3898,436,0,27
lkz1cC_b0_0,17643,0,0,4
lIl_hEbPUm0,43745,86,17,12
abqute8AylE,7807,95,10,0
Rvz0ubliVDo,2130,278,13,30
SAtcuA4r334,560192,16149,5101,945
AYvJ0zapsLg,29147,218,29,47
O7rmGMBmFvA,2811,280,6,70
CFs50nCn_Z4,16874,761,43,260
Z5mu5s_yDwU,177233,736,120,130
arZ2SIXADL8,1573,12,0,5
e42s8_vMycU,3395,114,0,50
AbXdi2sJUk0,81913,7184,44,665
OShSOWbDx9w,20409,985,21,88
u6u9g0h8kaY,157879,4885,109,196
kcBCqLRSsrg,124492,18587,575,1071
acjnMqeUQVA,182494,36857,1636,3677
p8XP7A7kvzM,4722974,119109,3782,6651
8d1KDFaf65U,50011,4876,226,437
K3kcDJBkbg8,89159,7877,661,564
7pGMNgmT8Wk,186851,16002,115,1133
lTQlbULOrCg,1028474,19155,1268,409
bNUlgjekT6w,343405,28200,329,2130
ToL4iNV8zkw,63894,4774,54,372
LkuAMnWNFQc,559228,22771,289,1753
Am9jWnliMII,30817,1184,13,101
9PhM-zCmTFs,178977,14355,87,429
fRj34o4hN4I,1603415,65598,700,12169
WPWSfsvqoUA,515216,6405,135,562
E0y0u1NsjUw,144843,12894,190,1114
1DNa9PcsKc8,99856,5823,271,309
gDIyFiQGkbg,147625,11728,158,424
SmMqPMP88-Q,115228,8602,113,248
16W7c0mb-rE,1164713,88543,742,6750
_GASOjcaFlg,72409,1828,86,276
lmoUgqj5yVQ,198241,19570,200,20684
Q_FAO1ZNKgo,597836,10079,324,855
KstndSY3_-s,736556,14610,852,708
3xYaaKge2CU,30799,2116,90,447
i3lIBd8w4zQ,116877,8201,120,372
xOjlzuWakD4,487929,15866,378,3628
wXWseMWAb28,40961,1960,57,626
i02hFj5UZI4,798143,16602,308,973
uyCnQgunBxg,55206,5474,156,940
RAvOkXLYGKI,375631,1895,102,0
t1shnJT8NCY,397983,5666,1682,1306
7Q59auc8ctE,554732,15248,325,2055
6W0jmBV3dvI,529158,7517,525,607
LJoWy7_fpy4,57960,835,56,356
bGMXMHjz8jQ,105840,8508,624,971
RX9Osj1jTkM,34653,1226,23,0
Ocr05bj0ncc,163906,4332,617,770
ixxR3ZoqnF0,3483755,789761,2840,72376
0SjLM1SgCoY,755791,20340,201,1948
D6tsYyOMALg,36381,4522,125,316
wXmT_i1I6h4,159955,1603,194,268
n7sWM0PwaRw,10182,124,9,7
hPepAYsrp5w,107520,13119,210,531
GTDtIs_bokU,33645,394,42,77
_TyO9I-fRJQ,47421,525,23,61
4KuJ59WPeAE,967172,5855,161,539
AH779vullK8,60133,1248,31,137
I_ZMccfRt6E,112990,128,33,432
itFsX-OWNsA,5167,333,83,267
yRBpOcpZHjY,24507,54,27,52
T834dusJpjU,70618,3168,101,1253
oZQg3lo25Dc,42663,241,10,9
nRafaCcfrcI,2935330,281103,2679,16009
aUtQBkgL4cU,6216,320,2,6
2UWw3EhpIFc,7505,136,15,11
cnv0BcMxArg,15355,1069,20,188
rMPkJ8UFbik,391505,23444,1277,2666
l3T7jV0smfg,3511,310,0,13
KYe8n1FJfJE,5317,176,3,17
mwxe0uvwJlw,52842,196,22,46
BEqF3Y5Nrb0,71471,1520,91,216
LVahdnWE8rQ,504592,7672,94,1094
Wc0sZxzpZB8,39212,159,68,280
eO-I_veCtIs,6204,350,11,54
6ql2ZhEOLgc,781498,0,0,0
JxkdwuEI5c8,201587,2883,234,322
855Tyv5XVXQ,5112,135,19,15
zlGxFIBbVPQ,242933,7751,384,1102
LDzBX_zj9hg,655537,4842,241,1366
pM8U7ESZwFg,272730,38518,113,2106
ZI0oJGwHH34,12829,733,13,236
vE38YIJ1O0g,5476,289,10,52
vnI41KTWxas,146908,6820,215,645
0KcvQpRdCzQ,986574,36300,789,5398
3r5ROOUXu6E,48839,2765,108,595
Lxet1zLBTM8,1117997,50950,760,5525
R9iYZgpGAVg,33477,5508,28,370
vJI2UsIYBYs,22103,793,60,286
Xfy6b_7Y82c,26062,66,16,20
lJFqvRwOiis,505886,23207,5376,7030
nC4YWSQHPy8,40307,2203,43,209
EfFG6SZxuJU,31138,1308,51,394
W6nCv3jQZ14,15514,1993,9,435
KqLA3MThm8I,63903,1033,32,47
WX0QfwCX30s,8839,662,16,55
TbhB_dzl7Ys,21686,1720,18,100
-zxqxPv6cEA,10012,1478,9,139
47ZdhBxWjKM,49255,1893,52,266
We_UPiT9JqI,20274,53,10,8
JHsbX5GT0Gg,19303,983,9,121
pftEGQ33fP0,23767,956,13,53
s0sQC7rxPzc,40962,4441,78,236
h33GrBoPih0,36349,1393,121,201
zY1F30sitwE,7366,161,9,27
sp_Q1p5p9gU,5013,569,6,26
rbVEFg_MVz8,76674,1947,33,184
9s8NPuy-fsQ,20945,252,21,62
5YbDyNgk-dI,63857,6106,73,309
qS6LoRYUdhw,329318,21145,215,2112
6b2KUcPvsHI,80140,682,32,75
IqTkJ72p5Ws,23110,2146,10,138
pB1CbKuQpYU,3342,220,3,49
WsouDYLaxMo,35314,2510,41,361
xbYnrSkz00w,5210,196,5,25
PMAnOY3K4es,97230,1494,116,120
ZKwvluTGDaI,3114,136,6,27
dgSlQZTnunk,30621,2640,47,137
h8WgqBZjBZk,26351,139,30,31
rOuSqjF9M8Y,324544,10121,312,1094
xZBTg8AzhOE,68851,2328,39,218
tETQaX2pIiE,1623989,30540,775,1243
dwUWvzQF_sw,1977868,3473,1591,351
tSVmGDOX4uo,22699,1446,38,131
KTEFonCLyac,21778,424,23,25
R6DKdXEuBz8,259829,3597,103,452
9LbpYZoLm6c,255232,2326,163,370
Y_G-xUluOTE,41468,1858,30,248
39mivDbyWe8,29072,565,35,26
TetcSIXO_5I,278403,315,136,487
gYm93WBwEis,63151,4375,39,398
_pu9JesdkFA,3470,268,1,34
WgQtfA2dxxE,163081,984,306,650
1pf67Kqgojo,16911,655,4,21
fpxBxp9QKrk,1532904,47589,3304,3848
-L7FVtCugUM,89352,5008,33,517
BYnw2QOvRc4,3472,249,3,43
LbivmYlVJLc,18836,1062,21,56
cNLrdnsp8ys,19350,339,18,72
MbSlZKzizxQ,400148,18713,320,2142
coOKvrsmQiI,2585193,40778,3499,8834
